idLinea;Numero_Linea;Nombre_Linea;Col_Grupo_Codigo_GrupLAC
1;1;Minería de Datos ;nro=00000000002158;
2;2;Visión por Computador ;nro=00000000002158;
3;3;Aprendizaje Computacional ;nro=00000000002158;
4;4;Búsqueda de información ;nro=00000000002158;
5;5;Computación de Alto Desempeño ;nro=00000000002158;
6;6;Modelado Matemático ;nro=00000000002158;
7;1;Procesamiento de señales de fenómenos electromagnéticos ;nro=00000000000425;
8;2;Electrodos flotantes en el campo eléctrico ;nro=00000000000425;
9;3;Materiales Aislantes higroscópicos ;nro=00000000000425;
10;4;Física de la descarga en gases ;nro=00000000000425;
11;5;Protección contra sobretensiones ;nro=00000000000425;
12;6;Estudios de rayos como fuente de interferencia electromagnética ;nro=00000000000425;
13;7;Estudios de exposición de seres vivos. ;nro=00000000000425;
14;8;Sistemas de Puesta a Tierra ;nro=00000000000425;
15;9;Compatibilidad electrmagnética: antenas ;nro=00000000000425;
16;10;Sistemas Inteligentes de Transporte ;nro=00000000000425;
17;11;Redes de Sensores (WSN) ;nro=00000000000425;
18;12;Internet of Things (IoT) ;nro=00000000000425;
19;13;Sistemas Distribuidos ;nro=00000000000425;
20;14;Cloud Computing ;nro=00000000000425;
21;15;Almacenamiento de Energía Eléctrica ;nro=00000000000425;
22;16;Evolución de redes eléctricas ;nro=00000000000425;
23;17;Vehículos eléctricos ;nro=00000000000425;
24;18;Modelamiento Electromagnético ;nro=00000000000425;
25;1;TRATAMIENTOS SUPERFICIALES ;nro=00000000001031;
26;2;TRATAMIENTOS TÉRMICOS DE MATERIALES ;nro=00000000001031;
27;3;MECANISMOS DE FALLA DE ELEMENTOS MECÁNICOS ;nro=00000000001031;
28;4;INTEGRIDAD DE EQUIPOS E INSTALACIONES MECÁNICAS ;nro=00000000001031;
29;5;NUEVOS MATERIALES ;nro=00000000001031;
30;1;Elementos Finitos ;nro=00000000003324;
31;2;Elementos sin malla ;nro=00000000003324;
32;3;Métodos Numéricos en Ingeniería ;nro=00000000003324;
33;4;Biomecánica computacional ;nro=00000000003324;
34;5;Modelado de Materiales y fenómenos físicos ;nro=00000000003324;
35;6;Visualización Biomédica ;nro=00000000003324;
36;7;Simulación y Modelamiento en procesos térmicos ;nro=00000000003324;
37;8;Biotecnología ;nro=00000000003324;
38;9;Investigación en Ciencias de la Salud ;nro=00000000003324;
39;10;Dinámica de fluidos computacional ;nro=00000000003324;
40;1;Materiales avanzados a partir de minerales ;nro=00000000007660;
41;2;Degradación y mineralización de contaminantes ;nro=00000000007660;
42;3;Catalisis Ambiental ;nro=00000000007660;
43;4;Nanomateriales para energía ;nro=00000000007660;
44;5;Nanomateriales para aplicaciones industriales ;nro=00000000007660;
45;1;Educación ;nro=00000000000440;
46;2;Gestión ;nro=00000000000440;
47;3;Catálisis y Procesos Catalíticos ;nro=00000000000440;
48;4;Polímeros y Procesos de Polimerización ;nro=00000000000440;
49;5;Ambiental ;nro=00000000000440;
50;6;Modelamiento y Simulación ;nro=00000000000440;
51;7;Especialidades Químicas ;nro=00000000000440;
52;8;Biotecnologia y Bioprocesos ;nro=00000000000440;
53;9;Biomasa y Biocombustibles ;nro=00000000000440;
54;10;Alimentos ;nro=00000000000440;
55;11;Materiales ;nro=00000000000440;
56;12;Nuevas Tecnologías ;nro=00000000000440;
57;13;Oleoquímica ;nro=00000000000440;
58;1;CORROSIÓN, DEGRADACIÓN, PROTECCIÓN Y RECICLAJE DE MATERIALES ;nro=00000000001584;
59;2;INGENIERÍA DE SUPERFICIES ;nro=00000000001584;
60;3;Ingenieria Molecular ;nro=00000000001584;
61;4;Electroquímica Aplicada ;nro=00000000001584;
62;1;Procesamiento de Señales ;nro=00000000001585;
63;2;Métodos formales para diseño de controladores de sistemas dinámicos a eventos discretos ;nro=00000000001585;
64;3;Visión Artificial ;nro=00000000001585;
65;4;Modelamiento, Simulación y Control de Sistemas Dinámicos ;nro=00000000001585;
66;5;Inteligencia Computacional ;nro=00000000001585;
67;6;Modelamiento y Control de Sistemas de Alta Tensión ;nro=00000000001585;
68;7;Fuentes alternativas de energía ;nro=00000000001585;
69;8;Electrónica de potencia ;nro=00000000001585;
70;1;FISIOLOGIA DE ESPECIES HORTICOLAS ;nro=00000000000500;
71;2;RECURSOS GENETICOS Y FITOMEJORAMIENTO EN ESPECIES HORTICOLAS ;nro=00000000000500;
72;3;POSCOSECHA DE PRODUCTOS HORTÍCOLAS ;nro=00000000000500;
73;4;SISTEMAS DE PRODUCCION HORTICOLA ;nro=00000000000500;
74;5;SANIDAD EN ESPECIES HORTICOLAS ;nro=00000000000500;
75;1;Diseño curricular para el desarrollo de competencias en STEM+B ;nro=00000000014982;
76;2;Evaluación de aprendizajes STEM ;nro=00000000014982;
77;3;Educación STEM+B para todos: ;nro=00000000014982;
78;4;Didáctica de la ingeniería e ingeniería didáctica en la enseñanza de la ingeniería ;nro=00000000014982;
79;1;Investigación Básica en Suelos Residuales ;nro=00000000006598;
80;2;Investigación Básica en Arcillas Blandas ;nro=00000000006598;
81;3;Aplicación de métodos geofísicos en ingeniería civil ;nro=00000000006598;
82;4;Investigación Básica en Suelos Parcialmente Saturados ;nro=00000000006598;
83;5;Estructuras multicapas ;nro=00000000006598;
